City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,papatowai,-46.5619,169.4708,10.57,78,100,1.57,NZ,1727784311
84,ilulissat,69.2167,-51.1,4.01,87,75,2.06,GL,1727784313
85,college,64.8569,-147.8028,1.36,73,20,1.54,US,1727784315
86,ajdabiya,30.7554,20.2263,26.79,42,0,7.13,LY,1727784317
87,forster,-32.1667,152.5167,10.77,96,0,1.36,AU,1727784318
88,puerto lempira,15.2667,-83.7667,25.08,88,20,0.0,HN,1727784322
89,labytnangi,66.6572,66.4183,4.01,89,98,11.1,RU,1727784324
90,remire-montjoly,4.9167,-52.2667,29.02,74,0,2.06,GF,1727784328
91,glace bay,46.1969,-59.957,13.87,85,75,10.8,CA,1727784330
92,palikir - national government center,6.9248,158.1611,28.38,77,100,4.73,FM,1727784332
93,belfast,54.5833,-5.9333,14.65,74,6,8.23,GB,1727784334
94,mount gambier,-37.8333,140.7667,7.92,96,0,1.06,AU,1727784336
95,surin,14.8818,103.4936,27.38,79,50,2.7,TH,1727784337
96,morondava,-20.2833,44.2833,28.06,67,0,6.81,MG,1727784339
97,ola,59.5833,151.2833,3.15,61,79,3.94,RU,1727784341
98,newport,51.5877,-2.9984,15.06,82,100,2.9,GB,1727784343
99,invercargill,-46.4,168.35,11.12,82,100,2.24,NZ,1727784345
100,siwa oasis,29.2041,25.5195,29.27,29,0,5.5,EG,1727784347
101,remuna,21.5261,86.8722,29.64,76,99,1.99,IN,1727784349
102,kununurra,-15.7667,128.7333,25.99,41,0,0.0,AU,1727784351
103,newman,37.3138,-121.0208,20.66,24,0,1.41,US,1727784353
104,hermanus,-34.4187,19.2345,15.45,62,65,3.45,ZA,1727784355
105,kapuskasing,49.4169,-82.4331,15.0,88,100,6.69,CA,1727784357
106,whitehorse,60.7161,-135.0538,2.12,84,100,2.06,CA,1727784358
107,ban dung,17.699,103.2596,28.9,100,87,2.69,TH,1727784360
108,yellowknife,62.456,-114.3525,2.45,96,100,6.71,CA,1727784254
109,machina,13.1364,10.0492,36.56,26,45,1.65,NG,1727784364
110,ushuaia,-54.8,-68.3,-2.19,59,75,5.14,AR,1727784366
111,borgo,46.0514,11.4544,17.01,75,100,2.68,IT,1727784368
112,midvagur,62.0511,-7.1939,8.46,93,100,3.09,FO,1727784370
113,hammerfest,70.6634,23.6821,6.25,75,75,17.49,NO,1727784218
114,holualoa,19.6228,-155.9522,21.02,83,21,0.57,US,1727784374
115,zlynka,52.4267,31.7378,20.36,22,97,5.29,RU,1727784375
116,tralee,52.2704,-9.7026,13.14,88,75,2.06,IE,1727784377
117,port mathurin,-19.6833,63.4167,22.49,85,1,9.27,MU,1727784379
118,aasiaat,68.7098,-52.8699,1.54,86,88,1.77,GL,1727784381
119,bredasdorp,-34.5322,20.0403,14.67,59,85,3.03,ZA,1727784383
120,pavilosta,56.8879,21.1859,11.02,50,100,5.72,LV,1727784385
121,acarau,-2.8856,-40.12,29.26,52,30,6.87,BR,1727784387
122,obra,24.4167,82.9833,28.63,71,20,2.85,IN,1727784389
123,jiagedaqi,50.4167,124.1167,3.41,73,72,1.56,CN,1727784391
124,axim,4.8699,-2.2405,27.36,72,75,4.48,GH,1727784393
125,acapulco de juarez,16.8634,-99.8901,24.9,87,75,0.75,MX,1727784394
126,ulaangom,49.9811,92.0667,6.42,65,22,1.26,MN,1727784396
127,vorgashor,67.5833,63.95,2.76,96,100,11.77,RU,1727784398
128,san bernardo del viento,9.3533,-75.9524,25.51,84,44,1.31,CO,1727784400
129,sao felix do xingu,-6.6447,-51.995,30.59,54,90,0.6,BR,1727784402
130,murzuq,25.9155,13.9184,31.33,30,0,1.57,LY,1727784404
131,bonthe,7.5264,-12.505,28.17,72,100,2.39,SL,1727784406
132,tiksi,71.6872,128.8694,-7.28,92,100,1.81,RU,1727784408
133,palu,-0.8917,119.8707,24.71,97,72,0.78,ID,1727784409
134,chazuta,-6.5742,-76.1367,20.72,93,67,1.44,PE,1727784411
